OID_,FieldName,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,StdTime_Max,MEAN,STD
111,19_BB,3,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/07/2018 00:00:00,01/08/2018 00:00:00,78.714918333562878,0.091888058458832
112,19_E,4,3.000000000000000,3000000.000000000000000,hurs,StdTime,01/07/2018 00:00:00,01/08/2018 00:00:00,67.207378732012870,0.146645156934018
113,19_F,5,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/07/2018 00:00:00,01/08/2018 00:00:00,68.678631436197918,0.140614134447290
114,19_J,6,6.000000000000000,6000000.000000000000000,hurs,StdTime,01/07/2018 00:00:00,01/08/2018 00:00:00,74.513866971053446,0.179177707510402
115,19_K,7,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/07/2018 00:00:00,01/08/2018 00:00:00,67.170637074581592,0.163227039199469
116,19_M,8,6.000000000000000,6000000.000000000000000,hurs,StdTime,01/07/2018 00:00:00,01/08/2018 00:00:00,72.613152633702583,0.241657948828387
117,19_N,9,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/07/2018 00:00:00,01/08/2018 00:00:00,71.963297024657265,0.100574578765952
118,19_O,10,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/07/2018 00:00:00,01/08/2018 00:00:00,76.259095623309719,0.073848469846832
119,19_P,11,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/07/2018 00:00:00,01/08/2018 00:00:00,79.248563550380183,0.131744562280528
120,19_T,12,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/07/2018 00:00:00,01/08/2018 00:00:00,78.197488482537608,0.025522949023715
121,19_V,13,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/07/2018 00:00:00,01/08/2018 00:00:00,78.219697812698044,0.022857748585807
122,19_W,14,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/07/2018 00:00:00,01/08/2018 00:00:00,76.463173441576998,0.017404863554351
123,19_X_A,15,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/07/2018 00:00:00,01/08/2018 00:00:00,78.544364466607789,0.008767579067560
124,19_X_B,16,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/07/2018 00:00:00,01/08/2018 00:00:00,78.662467971216444,0.049056388620063
125,19_Y,17,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/07/2018 00:00:00,01/08/2018 00:00:00,77.329593108928520,0.117481432022080
126,19_Z,18,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/07/2018 00:00:00,01/08/2018 00:00:00,74.449691012127829,0.128919455343091
127,19_A,1,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/08/2018 00:00:00,01/09/2018 00:00:00,75.029283031887303,0.278195355643150
128,19_AA,2,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/08/2018 00:00:00,01/09/2018 00:00:00,79.862906551091385,0.083795973427053
129,19_BB,3,4.000000000000000,4000000.000000000000000,hurs,StdTime,01/08/2018 00:00:00,01/09/2018 00:00:00,80.065705956354478,0.059028729213943
130,19_E,4,3.000000000000000,3000000.000000000000000,hurs,StdTime,01/08/2018 00:00:00,01/09/2018 00:00:00,74.821680271974415,0.079762411880958
131,19_F,5,5.000000000000000,5000000.000000000000000,hurs,StdTime,01/08/2018 00:00:00,01/09/2018 00:00:00,75.764220305215645,0.126044881929932
